,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-65600.0,251.676823,19.7844767,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-65600.0,251.676823,17.4690499,298.0,100000.0,0.649046641,8.33754444e-29,1.11684313e-28,0.195431437,1.49149476e-53,1.15197734e-37,6.76582003e-41,3.84655496e-33,0.0,0.0,6.73998455e-67,1.04394245e-72,4.7587013e-33,0.155521922,4.92986832e-29,7.02619266e-59,1.50867493e-70,7.36906158e-32,2.02721045e-32,4.89041367e-81,1.6271465e-30,1.5034601e-70,2.23428515e-30,3.97378483e-43,2.27761044e-30,3.34155433e-33,4.27045635e-57,0.0,3.1924896e-30,2.84107329e-35,1.31679659e-35,1.02085052e-32
2,0.0092,-65600.0,251.676823,15.1536231,298.0,100000.0,0.649046641,2.96264381e-25,3.96856461e-25,0.195431437,1.46328329e-49,4.12138294e-34,2.42061026e-37,1.36682597e-29,2.66081215e-97,2.08493567e-91,3.88041985e-60,8.43964004e-66,1.69091222e-29,0.155521922,1.75176804e-25,5.14439395e-54,1.61679164e-63,2.61850535e-28,7.20336964e-29,6.12285362e-74,5.78186483e-27,1.64643768e-63,7.93925731e-27,4.25366242e-39,8.0932084e-27,1.18738021e-29,1.06600114e-51,0.0,1.13441189e-26,1.00954043e-31,4.67907459e-32,3.62746669e-29
3,0.0138,-65600.0,251.676823,12.8381963,298.0,100000.0,0.649046641,9.13025835e-22,1.22302992e-21,0.195431437,1.36668049e-45,1.28013568e-30,7.52006761e-34,4.21227626e-26,3.45128999e-89,2.00205493e-82,2.02433697e-53,8.00643716e-59,5.21104144e-26,0.155521922,5.39858848e-22,1.23771023e-48,1.355405e-56,8.06969444e-25,2.2199299e-25,5.78754044e-67,1.78185172e-23,1.39631853e-56,2.44671567e-23,4.35290311e-35,2.49416023e-23,3.65926138e-26,2.65595815e-46,0.0,3.49602392e-23,3.1111958e-28,1.44199446e-28,1.11791056e-25
4,0.0184,-65600.0,251.676823,10.5227696,298.0,100000.0,0.649046641,2.38400051e-18,3.19345176e-18,0.195431437,1.21214369e-41,3.37365429e-27,1.9886688e-30,1.09986688e-22,4.47658787e-81,1.92246789e-73,8.89111788e-47,5.50125334e-52,1.36065373e-22,0.155521922,1.4096247e-18,3.0778062e-43,8.51247481e-50,2.10707682e-21,5.79645294e-22,3.96215983e-60,4.6525906e-20,8.72421979e-50,6.38861595e-20,4.24957548e-31,6.51249837e-20,9.55469239e-23,6.60481413e-41,0.0,9.12846329e-20,8.12363916e-25,3.76518973e-25,2.91897475e-22
5,0.023,-65600.0,251.676823,8.20734278,298.0,100000.0,0.649046641,5.10274007e-15,6.83529813e-15,0.195431437,1.02286741e-37,7.30295281e-24,4.62351428e-27,2.35416678e-19,5.80645679e-73,1.8460432e-64,2.99191171e-40,2.74638836e-45,2.91235619e-19,0.155521922,3.01717572e-15,7.69168349e-38,3.96941029e-43,4.51000964e-18,1.24067629e-18,2.01302648e-53,9.95845443e-17,3.78881325e-43,1.36742616e-16,3.94868174e-27,1.39394208e-16,2.04509653e-19,1.63906914e-35,0.0,1.953866e-16,1.73879238e-21,8.05905208e-22,6.24780461e-19
6,0.0275999947,-65600.0,251.676823,5.89191867,298.0,100000.0,0.649046641,8.52020788e-12,1.14131153e-11,0.195431437,1.9243864e-33,1.2371373e-20,2.25264831e-23,3.93082737e-16,7.53135222e-65,1.77264867e-55,6.86600345e-34,2.31647578e-38,4.86285058e-16,0.155521922,5.03787454e-12,2.04325499e-32,1.86279041e-36,7.53050697e-15,2.07157437e-15,1.87693102e-46,1.6627949e-13,1.15924959e-36,2.28323508e-13,3.48323188e-23,2.32750956e-13,3.41476291e-16,4.04612344e-30,0.0,3.26243239e-13,2.90331712e-18,1.34564562e-18,1.04321587e-15
7,0.0321974639,-65600.0,251.676891,3.57776945,298.000217,100000.0,0.649046648,1.02080088e-08,1.36739835e-08,0.195431416,1.92932425e-27,1.5122357e-17,6.96440793e-19,4.70950018e-13,9.76056646e-57,1.70072101e-46,9.48669719e-28,8.45991765e-31,5.82613991e-13,0.155521904,6.03584661e-09,7.60911518e-27,1.92455713e-29,9.02225425e-12,2.48176306e-12,6.58885351e-39,1.99218438e-10,5.14380762e-30,2.73552995e-10,2.90627235e-19,2.78857494e-10,4.09120652e-13,9.58699607e-25,0.0,3.90870025e-10,3.47844649e-15,1.61220973e-15,1.24987054e-12
8,0.036561849,-65600.0,251.727757,1.38224164,298.145916,100000.0,0.649051384,6.87867724e-06,9.21422782e-06,0.195417385,3.5287337e-21,1.05298449e-14,2.67301336e-14,3.17349802e-10,1.16983474e-48,1.50700959e-37,8.66849159e-22,2.11408374e-23,3.92572294e-10,0.155510198,4.06726144e-06,1.62649079e-20,2.16900814e-22,6.07965529e-09,1.67111927e-09,1.54617421e-31,1.34243549e-07,5.03175409e-23,1.84333965e-07,2.112063e-15,1.87908408e-07,2.75686372e-10,1.63119136e-19,0.0,2.63388168e-07,2.3439609e-12,1.08638902e-12,8.42226545e-10
9,0.0385648757,-65600.0,256.043218,0.415798599,310.957598,100000.0,0.649468812,0.000612284591,0.000820176171,0.194180635,9.91066114e-16,1.03400709e-12,1.0758032e-10,2.81970471e-08,4.49218025e-41,4.03341899e-29,1.53971003e-16,7.98206567e-18,3.50127653e-08,0.154478378,0.000362034941,5.04770509e-15,7.15664197e-17,5.41162032e-07,1.46807939e-07,1.6629078e-25,1.19492824e-05,2.17176156e-17,1.64079244e-05,4.03353339e-12,1.67259403e-05,2.45393862e-08,3.33117346e-15,0.0,2.34446989e-05,2.09530568e-10,9.66824314e-11,7.49682451e-08
10,0.0387939929,-65600.0,261.809847,0.333280821,339.027374,100000.0,0.650390811,0.0019494786,0.00261132511,0.191449089,3.7805785e-14,7.09466172e-12,8.6771799e-10,7.74945848e-08,1.88240629e-36,4.85621404e-26,5.60610722e-15,3.17795636e-16,1.58295614e-07,0.152199397,0.00115269821,1.29566626e-13,1.76213037e-15,1.72271664e-06,4.6968776e-07,3.7179903e-23,3.80458577e-05,9.2731591e-16,5.22415632e-05,5.9283749e-11,5.32112187e-05,7.81320561e-08,1.80229885e-13,0.0,7.46466375e-05,9.11558245e-10,3.02834569e-10,2.38739403e-07
11,0.0388818001,-65600.0,267.217595,0.314835947,368.06984,100000.0,0.651356148,0.00334952602,0.00448662504,0.188589239,2.09000207e-13,1.55817677e-11,1.84856658e-09,1.24776276e-07,2.29955039e-34,1.13080986e-24,2.45979474e-14,1.4939713e-15,3.28513499e-07,0.149813326,0.0019805259,4.818551e-13,6.30948447e-15,2.95924804e-06,7.95091192e-07,9.16811391e-22,6.53691203e-05,5.4319706e-15,8.97592105e-05,1.6221631e-10,9.1374361e-05,1.34243896e-07,1.27607121e-12,0.0,0.000128255376,1.79458269e-09,5.15988965e-10,4.10253861e-07
